Starting Location,Starting Altitude(ft),Starting Velocity(fps),Starting Elapsed Time(s),Starting Thrust Points,Move Type,Move Direction,Ending Location,Ending Altitude(ft),Ending Velocity(fps),Ending Elapsed Time(s),Ending Thrust Points
I12,200.0,195.0,236.7894068297287,268.0,CRUISE,E,J12,200.0,195.0,237.81504785536973,267.0
J12,200.0,195.0,237.81504785536973,267.0,CRUISE,E,K12,200.0,195.0,238.84068888101075,266.0
K12,200.0,195.0,238.84068888101075,266.0,CRUISE,E,L12,200.0,195.0,239.86632990665177,265.0
L12,200.0,195.0,239.86632990665177,265.0,CRUISE,E,M12,200.0,195.0,240.8919709322928,264.0
M12,200.0,195.0,240.8919709322928,264.0,CRUISE,E,N12,200.0,195.0,241.91761195793381,263.0
N12,200.0,195.0,241.91761195793381,263.0,CRUISE,E,O12,200.0,195.0,242.94325298357484,262.0
O12,200.0,195.0,242.94325298357484,262.0,CRUISE,E,P12,200.0,195.0,243.96889400921586,261.0
P12,200.0,195.0,243.96889400921586,261.0,CRUISE,E,Q12,200.0,195.0,244.99453503485688,260.0
Q12,200.0,195.0,244.99453503485688,260.0,CRUISE,E,R12,200.0,195.0,246.0201760604979,259.0
R12,200.0,195.0,246.0201760604979,259.0,CRUISE,E,S12,200.0,195.0,247.04581708613892,258.0
S12,200.0,195.0,247.04581708613892,258.0,CRUISE,E,T12,200.0,195.0,248.07145811177995,257.0
T12,200.0,195.0,248.07145811177995,257.0,CRUISE,E,U12,200.0,195.0,249.09709913742097,256.0
U12,200.0,195.0,249.09709913742097,256.0,CRUISE,E,V12,200.0,195.0,250.122740163062,255.0
V12,200.0,195.0,250.122740163062,255.0,CRUISE,E,W12,200.0,195.0,251.148381188703,254.0
W12,200.0,195.0,251.148381188703,254.0,CRUISE,E,X12,200.0,195.0,252.17402221434403,253.0
X12,200.0,195.0,252.17402221434403,253.0,CRUISE,E,Y12,200.0,195.0,253.19966323998506,252.0
Y12,200.0,195.0,253.19966323998506,252.0,CRUISE,E,Z12,200.0,195.0,254.22530426562608,251.0
Z12,200.0,195.0,254.22530426562608,251.0,CRUISE,S,Z13,200.0,195.0,255.2509452912671,250.0
Z13,200.0,195.0,255.2509452912671,250.0,CRUISE,W,Y13,200.0,195.0,256.27658631690815,249.0
Y13,200.0,195.0,256.27658631690815,249.0,CRUISE,W,X13,200.0,195.0,257.3022273425492,248.0
X13,200.0,195.0,257.3022273425492,248.0,CRUISE,W,W13,200.0,195.0,258.32786836819025,247.0
